"","colsum","rowsum"
"1",268,268
"2",204,245
"3",842,798
"4",522,512
"5",222,215
"6",805,796
"7",400,339
"8",850,979
"9",589,571
"10",565,529
"11",387,367
"12",669,586
"13",220,208
"14",264,273
"15",2093,1536
"16",868,570
"17",473,498
"18",220,395
"19",167,246
"20",239,347
"21",243,354
"22",284,452
"23",476,655
"24",277,337
"25",560,673
"26",171,204
"27",197,310
"28",179,210
"29",157,214
"30",254,367
"31",300,421
"32",263,355
"33",111,128
"34",99,97
"35",294,338
"36",250,297
"37",203,226
"38",727,843
"39",179,219
"40",474,555
"41",148,220
"42",505,371
"43",611,569
"44",212,184
"45",300,272
"46",205,179
"47",189,215
"48",855,938
"49",293,404
"50",206,247
"51",138,176
"52",224,246
"53",298,263
"54",225,257
"55",172,174
"56",152,166
"57",97,105
"58",135,125
"59",303,285
"60",95,92
"61",202,238
"62",180,197
"63",172,173
"64",219,201
"65",275,301
"66",177,179
"67",160,156
"68",208,199
"69",158,144
"70",55,79
"71",87,76
"72",1175,1020
"73",188,180
"74",196,244
"75",332,418
"76",206,208
"77",256,234
"78",286,293
"79",202,238
"80",114,111
"81",262,239
"82",234,215
"83",225,203
"84",691,880
"85",143,152
"86",253,238
"87",86,91
"88",171,250
"89",126,108
"90",274,244
"91",527,470
"92",120,170
"93",847,917
"94",3202,2970
"95",1037,1447
"96",838,2170
"97",1536,1776
"98",423,910
"99",310,555
"100",1068,1231
"101",2332,2218
"102",2034,1946
"103",2150,2153
"104",1404,1382
"105",427,405
"106",880,1333
"107",1708,1975
"108",720,965
"109",1630,1613
"110",740,950
"111",791,856
"112",1311,1380
"113",909,901
"114",1827,1901
"115",578,906
"116",428,1045
"117",1600,2919
"118",1721,1680
"119",1161,1266
"120",881,838
"121",2129,2008
"122",3049,2840
"123",4492,4135
"124",3978,3795
"125",2604,2466
"126",2660,2599
"127",1248,974
"128",1565,1186
"129",404,463
"130",254,375
"131",1498,1138
"132",1733,1134
"133",1031,961
"134",2136,2039
"135",2251,2038
"136",2457,2389
"137",2373,1594
"138",1224,1202
"139",1363,1338
"140",2042,1835
"141",2307,2169
"142",775,808
"143",1814,1781
"144",2326,2173
"145",1914,2004
"146",1022,985
"147",1884,1385
"148",474,576
"149",2370,1206
"150",3569,3032
"151",2831,2827
"152",2571,2176
"153",1864,1628
"154",3058,2607
"155",2934,1862
"156",1902,1784
"157",1245,1324
"158",1051,1080
"159",1682,1603
"160",1724,1628
"161",1468,1440
"162",2153,2104
"163",2715,3085
