"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",566,18,166,196,7,21,251,27,131,21,26,22,101,74,3,42,11,2,38,15,55,10,0,47,7,31,0,51,21,118,1,83,3,2,18,49,0,9,79,86,49,39,0,28,8,0,5,25,26,45,41,30,56,3,116,85,230,21,240,7,17,0,48,42,151,32,67,310,35,80,0,25,0,46,71,13,22,17,7,65,26,14,0,80,39,95,89,97,179,13,48,18,39,0,2,10,69,20,42,20
"2",29,116,192,38,3,284,30,2,45,106,7,185,85,94,31,51,0,2,46,2,73,0,0,6,0,12,0,79,130,6,0,32,35,28,201,41,0,11,80,60,14,200,2,5,51,6,0,1,36,15,31,27,108,0,117,85,18,0,20,52,23,0,31,62,51,59,121,7,210,13,0,112,0,50,30,2,44,4,0,15,11,29,0,15,11,4,62,19,119,0,20,31,69,0,10,0,5,14,40,107
"3",152,138,260,187,6,135,125,16,41,65,81,47,140,118,6,94,3,5,56,4,113,6,0,23,1,47,0,73,22,49,1,118,1,4,18,72,0,3,63,183,7,90,0,39,128,0,0,13,8,101,49,62,69,0,181,33,95,18,79,11,5,0,63,43,114,39,92,93,75,16,0,38,0,36,55,2,34,17,8,21,21,22,0,25,31,19,54,110,75,3,18,57,45,0,2,1,24,22,32,52
"4",353,32,475,591,1,84,321,4,104,60,66,94,118,116,15,121,0,2,39,1,129,6,0,25,1,61,0,337,101,302,4,77,9,2,35,73,0,1,207,283,34,183,4,166,17,1,1,31,24,7,106,55,55,0,165,76,141,28,173,13,10,1,70,81,233,313,406,99,80,16,3,77,1,58,189,0,46,26,41,130,105,51,0,61,43,34,110,34,188,3,25,79,165,0,2,4,244,50,63,88
"5",11,3,6,4,110,3,7,0,2,7,7,12,2,7,0,4,0,505,5,42,8,1,0,5,1,11,1,7,1,0,0,0,0,2,13,1,0,3,11,19,3,7,1,0,6,0,0,0,4,1,1,1,6,0,1,1,2,0,1,1,8,0,1,2,4,4,2,0,2,0,0,0,261,2,0,35,4,0,1,0,6,4,0,1,0,8,15,6,164,1,3,10,19,0,13,0,0,2,0,3
"6",42,210,99,58,3,187,25,2,79,210,21,145,210,217,28,74,0,4,43,5,78,0,0,5,2,21,0,68,173,14,0,21,43,37,191,181,0,23,260,485,15,394,2,11,47,2,0,4,54,3,30,29,167,0,428,207,36,1,10,77,37,0,120,195,120,105,73,11,137,0,0,74,2,153,56,4,282,6,2,44,28,36,0,17,29,11,31,20,152,0,10,63,131,0,8,0,23,50,85,220
"7",261,6,112,215,4,15,873,28,152,8,97,8,118,28,1,24,7,0,57,0,29,9,0,21,2,11,0,90,6,157,1,106,1,3,10,85,0,0,80,83,5,30,0,92,3,0,0,57,4,33,65,43,64,3,85,36,326,20,449,9,2,0,20,59,212,45,117,332,23,104,0,51,4,39,132,0,28,34,0,65,24,13,0,116,32,89,48,73,77,4,26,53,24,0,0,10,51,18,49,27
"8",34,2,16,23,3,6,67,275,35,0,3,34,8,4,3,4,46,1,4,0,4,0,0,7,1,24,0,18,1,63,2,23,4,1,0,16,0,0,10,5,2,6,0,10,1,0,8,3,2,4,16,7,17,0,9,8,65,4,128,0,3,0,1,5,31,9,14,74,8,31,1,11,0,7,17,0,2,64,1,11,1,0,0,9,5,11,7,20,21,16,97,57,7,1,0,2,31,3,0,1
"9",94,53,44,272,5,44,89,13,222,64,23,67,226,172,12,74,2,3,110,1,296,4,0,17,1,28,0,49,33,29,2,51,2,12,29,55,0,0,96,146,6,60,2,16,17,1,0,20,6,34,53,33,37,2,117,62,99,5,59,14,11,0,49,50,72,47,41,65,44,17,0,39,0,28,29,12,21,7,6,18,24,15,0,44,22,18,81,67,63,10,32,116,42,0,1,0,34,14,16,26
"10",38,194,176,108,8,350,29,2,99,174,5,296,143,140,79,181,0,1,106,4,334,2,0,0,1,11,0,106,176,18,0,120,57,74,956,125,1,22,268,308,16,506,6,28,130,15,0,1,103,1,39,113,131,0,191,108,21,0,27,121,98,0,40,105,93,160,134,9,98,87,0,111,3,102,34,0,51,71,0,44,16,36,0,73,7,6,35,2,89,0,4,49,58,0,15,0,19,68,51,92
