"","address","lat","lon","para","name","addr","LATITUDE","LONGITUDE","matched","Errors"
"1","10th & E St NW",38.8961384,-77.0259649,"0x89b7b79094c76b81:0x458eae18802701a7","E St NW & 10th St NW","Washington, DC 20004",38.895914,-77.026064,TRUE,26.3848764182561
"2","10th & Florida Ave NW",38.9037959,-76.9926332,"0x89b7b815d3a5c54d:0x9d76ea10bd18c85c","Florida Ave NE & 10th St NE","Washington, DC 20002",38.9037959,-76.9926332,FALSE,0
"3","10th & G St NW",38.8983163,-77.0259872,"0x89b7b79116e98329:0x651bedef7d11ba0e","G St NW & 10th St NW","Washington, DC 20001",38.898243,-77.026235,TRUE,22.9410237829326
"4","10th & H St NE",38.9002071,-76.992649,"0x89b7b83e0cebf2e9:0x91ed2fb19add2dda","H St NE & 10th St NE","Washington, DC 20002",38.899984,-76.992725,TRUE,25.664575948242
"5","10th & K St NW",38.9025254,-77.025992,"0x89b7b793a0902c43:0xbb2f73b7e4e3a0fd","10th St NW & K St NW","Washington, DC 20001",38.9024,-77.02622,TRUE,24.1596997266719
"6","10th & Monroe St NE",38.9324579,-76.9926265,"0x89b7c7edf96e7a85:0x2007b3cb22404d8a","Monroe St NE & 10th St NE","Washington, DC 20017",38.932457,-76.993534,TRUE,78.4962002556062
"7","10th & Quincy St NE / Turkey Thicket Rec",38.9378514,-76.9924221,"0x87903fc6a60c4113:0xc3965e2d64ff3515","Turkey Thicket Recreation Center","1100 Michigan Ave NE, Washington, DC 20017",38.937849,-76.993509,TRUE,94.0069499085148
"8","10th & Rhode Island Ave NE",38.9224931,-76.99243,"0x89b7c7f5fa977403:0x610a5bbe189c5c85","Rhode Island Ave NE & 10th St NE","Washington, DC 20018",38.9224931,-76.99243,FALSE,0
"9","10th & U St NW",38.9169936,-77.0259932,"0x89b7b7e5becd1c69:0xcb7ec144bb494079","U St NW & 10th St NW","Washington, DC 20001",38.9172,-77.0259,TRUE,24.325870762515
"10","10th St & Constitution Ave NW",38.892093,-77.0259034,"0x89b7b79bb444cbe5:0x8e6f1e2e6c50123b","Constitution Ave. NW & 10th St NW","Washington, DC 20004",38.893028,-77.026013,TRUE,104.399058903915
"11","10th St & Florida Ave NW",38.9037959,-76.9926332,"0x89b7b815d3a5c54d:0x9d76ea10bd18c85c","Florida Ave NE & 10th St NE","Washington, DC 20002",38.920387,-77.025672,TRUE,3402.19709399995
"12","10th St & L'Enfant Plaza SW",38.8846745,-77.0249746,"0x89b7b776285c1dad:0x333dd015732874f1","955 L'Enfant Plaza","955 L'Enfant Plaza SW, Washington, DC 20024",38.884323,-77.02601,TRUE,97.7717719212936
"13","10th St & Rhode Island Ave NE",38.9224931,-76.99243,"0x89b7c7f5fa977403:0x610a5bbe189c5c85","Rhode Island Ave NE & 10th St NE","Washington, DC 20018",38.922489,-76.99267,TRUE,20.7672303378078
"14","10th St & Spring Rd NW",38.93563,-77.0272069,"0x89b7c81a045f9f15:0xd0714bb6348cd67c","Spring Rd NW & 10th St NW","Washington, DC 20010",38.936228,-77.027163,TRUE,66.6028889812425
"15","11th & C St SE",38.8860405,-76.9915778,"0x89b7b8369f060a35:0x38639e9ea5ff0b0b","C St SE & 11th St SE","Washington, DC 20003",38.885908,-76.991476,TRUE,17.1670541914325
"16","11th & Clifton St NW",38.9224375,-77.0270432,"0x89b7b7e3db1f0b31:0xc0ed36bd67282386","11th St NW & Clifton St NW","Washington, DC 20009",38.920981,-77.027118,TRUE,162.084633536761
"17","11th & F St NW",38.8973435,-77.0270466,"0x89b7b790d7132141:0xe561177ee7482e28","11th St NW & F St NW","Washington, DC 20004",38.897857,-77.026975,TRUE,57.4338130124423
"18","11th & Girard St NW",38.9257595,-77.02704,"0x89b7b7e207930c0f:0xd1ecd3f75545c3c9","Girard St NW & 11th St NW","Washington, DC 20001",38.925642,-77.027131,TRUE,15.2536215142537
"19","11th & H St NE",38.9002082,-76.9915308,"0x89b7b83e3e5b6a79:0x5e3be207fe7d4d4","H St NE & 11th St NE","Washington, DC 20002",38.9002082,-76.9915308,FALSE,0
"20","11th & Kenyon St NW",38.9296774,-77.027748,"0x89b7c81e9feb0fd7:0xc39c4fc52441514b","11th St NW & Kenyon St NW","Washington, DC 20010",38.929464,-77.027822,TRUE,24.5771992470903
"21","11th & M St NW",38.9056569,-77.0270419,"0x89b7b7ecae6d0733:0xdf7dd8d96d077ea7","11th St NW & M St NW","Washington, DC 20005",38.905579,-77.027313,TRUE,25.0064142725603
"22","11th & O St NW",38.9085845,-77.0270409,"0x89b7b7ec7040de0f:0x85d568474d9226cd","11th St NW & O St NW","Washington, DC 20001",38.908431,-77.027088,TRUE,17.5482137207415
"23","11th & Park Rd NW",38.9318277,-77.0282607,"0x89b7c8195aec248d:0x5f3d72ddf1a69293","11th St NW & Park Rd NW","Washington, DC 20010",38.931322,-77.028247,TRUE,56.2437597080865
"24","11th & S St NW",38.9140948,-77.0270522,"0x89b7b7ef37a08067:0x9150b6ed343dbcef","11th St NW & S St NW","Washington, DC 20009",38.913674,-77.027078,TRUE,46.8440399395332
"25","11th & V St NW",38.9181209,-77.0270424,"0x89b7b7e42d353ffb:0x453943977e71fb66","11th St NW & V St NW","Washington, DC 20001",38.918199,-77.027171,TRUE,14.1138327149506
"26","12th & Army Navy Dr",38.8629241,-77.0518426,"0x89b7b721410909b3:0x390854ad0061da23","Army Navy Dr & 12th St S","Arlington, VA 22202",38.8629241,-77.0518426,FALSE,0
"27","12th & Irving St NE",38.928598,-76.9906905,"0x89b7c7f3a435c6a5:0x9927381573d97590","Irving St NE & 12th St NE","Washington, DC 20017",38.928644,-76.990955,TRUE,23.4445032665882
"28","12th & L St NW",38.9037346,-77.0280879,"0x89b7b7949bf5b365:0x9874a05c7b04203a","L St NW & 12th St NW","Washington, DC 20005",38.903819,-77.0284,TRUE,28.5908265052054
"29","12th & Newton St NE",38.9335347,-76.9910824,"0x89b7c7edbcee09cd:0x594d4894017b9404","Newton St NE & 12th St NE","Washington, DC 20017",38.933668,-76.991016,TRUE,15.8960930725365
"30","12th & U St NW",38.9170081,-77.0280982,"0x89b7b7e67367e835:0x627cc5e6329c7fa3","U St NW & 12th St NW","Washington, DC 20009",38.916787,-77.028139,TRUE,24.837307867538
"31","12th & Varnum St NE",38.9428764,-76.9902444,"0x89b7c7c1cd530473:0x49db5b60df115591","12th St NE & Varnum St NE","Washington, DC 20017",38.943596,-76.990157,TRUE,80.3720925471958
"32","12th St & New York Ave NW",38.9007912,-77.028066,"0x89b7b79405cfa173:0x27073251db71ea8b","New York Ave NW & 12th St NW","Washington, DC 20005",38.901104,-77.028061,TRUE,34.7844641584619
"33","12th St & Pennsylvania Ave SE",38.8823899,-76.9902467,"0x89b7b834e27497b7:0xb2843d82a444b15d","12th St SE & Pennsylvania Ave. SE","Washington, DC 20003",38.882489,-76.990121,TRUE,15.4857871938325
"34","12th St N & N Pierce St",38.8875835,-77.0763399,"0x89b7b6f454c0725f:0x5405ec80546169ed","12th St N & N Pierce St","Arlington, VA 22209",38.887659,-77.07592,TRUE,37.300131960836
"35","1301 McCormick Dr / Wayne K. Curry Admin Bldg",38.9089426,-76.8422664,"0x89b7c0095cb22cc7:0xd51dc68e85afed43","Wayne K. Curry Administration Building","1301 McCormick Dr, Largo, MD 20774",38.908391,-76.843263,TRUE,105.820339374957
"36","13th & D St NE",38.8947974,-76.9883121,"0x89b7b838bc714bc5:0xef7e6e19a8a19525","13th St NE & D St NE","Washington, DC 20002",38.894832,-76.987633,TRUE,58.8971518284294
"37","13th & E St SE",38.8828484,-76.9883166,"0x89b7b8357640e367:0x33fe4920f98ec21f","13th St SE & E St SE","Washington, DC 20003",38.882915,-76.987907,TRUE,36.2191489824107
"38","13th & H St NE",38.9002083,-76.9883059,"0x89b7b83fef6e9151:0x2247dcdd017f3f21","H St NE & 13th St NE","Washington, DC 20002",38.900427,-76.98825,TRUE,24.7947864464374
"39","13th & O St NW/ Logan Circle",38.9085921,-77.0296261,"0x89b7b7eba44df313:0xb5617a50844aa39","13th St NW & O St NW","Washington, DC 20005",38.908735,-77.029779,TRUE,20.6763904689286
"40","13th & U St NW",38.9170134,-77.0296179,"0x89b7b7e638f14f73:0x3268c97b189c6828","U St NW & 13th St NW","Washington, DC 20009",38.916936,-77.029631,TRUE,8.6807907464884
"41","13th St & Eastern Ave",38.9869581,-77.029668,"0x89b7c89591ad445f:0x2c475297165b584e","Eastern Ave NW & 13th St NW","Silver Spring, MD 20910",38.987,-77.029417,TRUE,22.1887341034903
"42","13th St & New York Ave NW",38.9002751,-77.0296252,"0x89b7b7969c58fb01:0x44cc417ec71813f9","New York Ave NW & 13th St NW","Washington, DC 20005",38.900283,-77.029822,TRUE,17.0529939117475
"43","14th & Belmont St NW",38.9210999,-77.0318815,"0x89b7b7e7350c4ed5:0x7882715c7c3d7e91","14th St NW & Belmont St NW","Washington, DC 20009",38.921074,-77.031887,TRUE,2.91898946415587
"44","14th & D St NW / John A Wilson Building",38.8951543,-77.0313496,"0x89b7b79825dba9ef:0x3d6cdb192838a64f","The John Wilson Building","1350 Pennsylvania Avenue NW, Washington, DC 20004",38.894514,-77.031617,TRUE,74.8645741862684
"45","14th & D St NW / Ronald Reagan Building",38.8939166,-77.0307749,"0x89b7b799cd314b7f:0x2e78c9142e08889d","Ronald Reagan Building and International Trade Center","1300 Pennsylvania Avenue NW, Washington, DC 20004",38.8939166,-77.0307749,FALSE,0
"46","14th & D St SE",38.8841038,-76.9855178,"0x89b7b84a3949b96d:0xafc96727db15799b","14th St SE & D St SE","Washington, DC 20003",38.884058,-76.986385,TRUE,75.2340046423844
"47","14th & G St NW",38.8983323,-77.0319854,"0x89b7b7964a639541:0x85b775958447adf8","14th St NW & G St NW","Washington, DC 20005",38.898164,-77.031898,TRUE,20.1847516648258
"48","14th & Girard St NW",38.9254996,-77.0323193,"0x89b7b7e016b40213:0x1b369261017f3934","14th St NW & Girard St NW","Washington, DC 20009",38.925284,-77.032375,TRUE,24.4530455625597
"49","14th & Harvard St NW",38.9265624,-77.0324193,"0x89b7c81fe236e827:0xd674a76936ab5a1e","14th St NW & Harvard St NW","Washington, DC 20009",38.9268,-77.0322,TRUE,32.5251681809805
"50","14th & Irving St NW",38.9287609,-77.0326544,"0x89b7c81f9cc7f405:0x9b5aea6f500a448","14th St NW & Irving St NW","Washington, DC 20009",38.928552,-77.032224,TRUE,43.8824357560034
"51","14th & L St NW",38.9037471,-77.0318717,"0x89b7b7950d279d35:0xe4ecaab0825ff20","14th St NW & L St NW","Washington, DC 20005",38.903658,-77.031737,TRUE,15.2976324945702
"52","14th & Luzon St NW",38.9697883,-77.0334391,"0x89b7c8f52cca8491:0xbbd9878c1dd7061e","14th St NW & Luzon Ave NW","Washington, DC 20012",38.9697883,-77.0334391,FALSE,0
"53","14th & Newton St NW",38.9318605,-77.0327338,"0x89b7c818adfa9aa1:0x22dbf52a29d08553","14th St NW & Newton St NW","Washington, DC 20010",38.931991,-77.032956,TRUE,24.0825287601719
