"","colsum","rowsum"
"1",3910,5045
"2",2681,1463
"3",2975,3956
"4",2550,8786
"5",2049,692
"6",1816,1479
"7",2779,1409
"8",1136,137
"9",3661,2226
"10",41,74
"11",819,869
"12",2377,4001
"13",1778,1450
"14",4460,10069
"15",5081,1082
"16",5250,3807
"17",7199,7129
"18",3226,6329
"19",2744,2714
"20",2901,1937
"21",82,442
"22",0,402
"23",1709,9642
"24",122,211
"25",3269,3582
"26",3143,5903
"27",6239,8690
"28",2843,5153
"29",5655,4475
"30",4416,2781
"31",4425,940
"32",431,62
"33",10908,3363
"34",2464,1178
"35",4756,3800
"36",1027,214
"37",4201,4711
"38",5210,12033
"39",1985,1173
"40",2948,136
"41",1269,1547
"42",2936,3480
"43",2225,4320
"44",741,2
"45",8711,2321
"46",969,3434
"47",5998,2894
"48",3555,2072
"49",3135,1784
"50",1607,4606
"51",1910,2507
"52",2542,1727
"53",369,193
"54",6526,2680
"55",4551,3015
"56",3068,7480
"57",8616,8221
"58",2534,5595
"59",9890,9797
"60",2235,3402
"61",3362,1046
"62",552,197
"63",4954,1656
