"","h2=0.01","h2=0.014","h2=0.018","h2=0.022","h2=0.026","h2=0.03","h2=0.04","h2=0.08"
"h1=0.1",4096.19843920822,3981.51789252946,3913.36346176336,3823.39003363912,3716.24748559922,3693.21591067191,3656.9973552949,3590.45959747117
"h1=0.2",3499.05169516626,3381.89860530236,3336.9817307689,3223.53639436491,3188.20367767875,3166.35362562178,3136.72195625393,3094.34541627206
"h1=0.3",3251.26655662542,3157.94099399889,3129.77286444037,3041.62414284335,2958.40051483886,2937.69559391555,2905.93846430413,2861.93301074174
"h1=0.4",3191.69698127359,3189.37496312975,3037.20467123689,2943.00804177826,2889.21012145413,2856.51650449738,2816.51548302975,2751.26538032849
"h1=0.5",3264.12554592163,3209.35066793445,3016.02731614028,2907.84323117923,2845.80770349474,2813.43022195786,2765.9437833732,2695.84765859834
"h1=0.6",3267.61495503541,3548.17829492745,3037.9823715353,2912.86955935961,2834.78366851801,2796.6411523036,2744.00924824852,2671.3340986459
"h1=0.7",3493.59578393821,3979.95351877533,3119.36320111118,2953.6850881215,2857.7580411709,2811.74772754402,2752.23602964142,2674.65904502851
"h1=0.8",10163.0891478482,4745.54791287844,3333.94687008816,3040.67776340241,2916.36940875921,2860.20941546385,2790.57402945913,2704.870690498
"h1=0.9",18398.97265934,6227.263978688,3639.39738565142,3208.06763377107,3012.94747245308,2949.6262702702,2856.26742338884,2758.48833005732
"h1=1",33516.9935540516,9237.81976569906,4438.6152206833,3447.86690774224,3176.42572806315,3070.45023213154,2945.03569215513,2831.22306923403
