"","Ini (noise)"," ","t=0.4","t=0.6","t=0.8"
"1","0","alpha_1","94.4 (1.00)","92.9 (1.58)","92.9 (1.44)"
"2","0","alpha_n/2+1","94.0 (1.63)","92.7 (1.67)","93.6 (1.38)"
"3","0","beta_1","92.7 (1.12)","94.0 (1.62)","94.8 (1.29)"
"4","0","beta_n/2+1","94.5 (1.18)","93.0 (1.62)","95.3 (1.66)"
"5","0","gamma1","92.1 (0.29)","93.2 (0.40)","91.6 (0.30)"
"6","-1","alpha_1","94.4 (1.00)","93.6 (1.59)","94.4 (1.44)"
"7","-1","alpha_n/2+1","94.5 (1.65)","94.7 (1.68)","95.6 (1.37)"
"8","-1","beta_1","91.6 (1.11)","93.6 (1.62)","93.8 (1.29)"
"9","-1","beta_n/2+1","94.7 (1.18)","94.9 (1.63)","94.8 (1.66)"
"10","-1","gamma1","93.0 (0.29)","92.3 (0.40)","91.1 (0.29)"
"11","2","alpha_1","95.7 (1.00)","93.9 (1.58)","93.6 (1.45)"
"12","2","alpha_n/2+1","94.6 (1.63)","94.0 (1.68)","92.9 (1.38)"
"13","2","beta_1","90.4 (1.11)","95.3 (1.62)","93.0 (1.30)"
"14","2","beta_n/2+1","94.8 (1.19)","95.1 (1.63)","94.1 (1.66)"
"15","2","gamma1","94.0 (0.29)","93.8 (0.40)","92.1 (0.30)"
"16","5","alpha_1","94.8 (1.00)","93.0 (1.57)","93.2 (1.44)"
"17","5","alpha_n/2+1","94.9 (1.64)","93.4 (1.67)","94.1 (1.37)"
"18","5","beta_1","91.5 (1.11)","93.9 (1.62)","93.9 (1.29)"
"19","5","beta_n/2+1","94.7 (1.19)","95.8 (1.62)","95.3 (1.65)"
"20","5","gamma1","92.0 (0.29)","91.9 (0.40)","91.2 (0.30)"
