"","t","y","yl","yu"
"1",0.05,0.349852959083287,-0.183287480614525,0.867377353724568
"2",0.06,0.435700485756483,-0.0771507361513202,0.932255035950606
"3",0.07,0.512968066404953,0.0162772935678521,0.998042155326151
"4",0.08,0.582623039214722,0.0989070221249738,1.05064885341245
"5",0.09,0.645566635640608,0.175635522000802,1.08421695563624
"6",0.1,0.702613953183887,0.240075903334422,1.13100170542378
"7",0.11,0.754478495003843,0.303804392695774,1.17799358452785
"8",0.12,0.801762601843225,0.36110025127793,1.21436051808957
"9",0.13,0.844954141753207,0.425003947467222,1.24397947895656
"10",0.14,0.884429085294713,0.469141384209515,1.2825993584432
"11",0.15,0.9204591556083,0.496514675724763,1.31540170516282
"12",0.16,0.953223557983946,0.527715478909187,1.35204538293099
"13",0.17,0.982823729847185,0.562195691410791,1.38671025181385
"14",0.18,1.00929997752078,0.597302046740968,1.41190748484767
"15",0.19,1.03264874267626,0.607770820768836,1.43577819277203
"16",0.2,1.05283913256739,0.631821289353823,1.44843481250518
"17",0.21,1.06982736817919,0.644323078074779,1.4722238309521
"18",0.22,1.08356804792467,0.652152407985264,1.49607258661983
"19",0.23,1.0940216096915,0.662253912144224,1.51527807354786
"20",0.24,1.10115801520539,0.680899613444007,1.50683187446394
"21",0.25,1.10495730566535,0.681355995004494,1.51771334857687
"22",0.26,1.10540807603715,0.678160820481164,1.51792369999893
"23",0.27,1.10250494858894,0.663571627076116,1.51219793009834
"24",0.28,1.09624584375002,0.652960978661231,1.49427490425606
"25",0.29,1.08662950896152,0.641694112079156,1.48576422702776
"26",0.3,1.07365365785577,0.635129835374363,1.48439996466086
"27",0.31,1.05731421328739,0.618447503831513,1.48512443018282
"28",0.32,1.03760624271069,0.592282556530236,1.46635378710682
"29",0.33,1.01452691508934,0.561664152005795,1.44514970523588
"30",0.34,0.988080256623776,0.527486111138597,1.42467177305522
"31",0.35,0.958283057919525,0.48831674819185,1.40385329046943
"32",0.36,0.925171328295472,0.442533443907204,1.38167858036332
"33",0.37,0.888807045060904,0.406555595715025,1.34778158141772
"34",0.38,0.849285041405905,0.346643925716983,1.33136018014339
"35",0.39,0.806739343948267,0.274307649444205,1.30482049427589
"36",0.4,0.761347442360185,0.217823898704224,1.28082843444125
"37",0.41,0.71333065920323,0.169628187045276,1.2501355603545
"38",0.42,0.662949428629528,0.106757740785343,1.21070300455042
"39",0.43,0.610493486353129,0.0512477722707922,1.16694276105002
"40",0.44,0.556268053228918,-0.00964518462504761,1.12508363908262
"41",0.45,0.500577932185455,-0.0786639138264645,1.07054616500984
"42",0.46,0.443712190105817,-0.160688806687945,1.02237150377203
"43",0.47,0.385932332557246,-0.246767033489801,0.983268316338311
"44",0.48,0.327465831276332,-0.295527983942198,0.95887029650216
"45",0.49,0.268504824414446,-0.378076784815166,0.904831222256076
"46",0.5,0.209208383004608,-0.473687555950392,0.841817881321427
"47",0.51,0.149707012677316,-0.579775133446205,0.823017771024369
"48",0.52,0.0901092334550922,-0.678486671589971,0.767478452833862
"49",0.53,0.0305106082485899,-0.763176087082988,0.722312799930038
"50",0.54,-0.0289949733040295,-0.85873512032644,0.660391938726114
"51",0.55,-0.0883026674603939,-0.931880553601494,0.606330445833968
"52",0.56,-0.147283141605503,-1.01839664330117,0.578234274827602
"53",0.57,-0.205767412743761,-1.07966030386405,0.512970493951451
"54",0.58,-0.26353041718724,-1.1507375056092,0.479851296585871
"55",0.59,-0.320276746254446,-1.23247268007444,0.435991355442557
"56",0.6,-0.375633201588819,-1.34588382246217,0.381835932936702
"57",0.61,-0.429152224161382,-1.40618304400995,0.329543415340103
"58",0.62,-0.480329717682586,-1.45807079227697,0.287309348749029
"59",0.63,-0.528638747166832,-1.54881617910641,0.221940145872573
"60",0.64,-0.573574939891633,-1.59012803511038,0.17365163026296
"61",0.65,-0.614701650663566,-1.60651442196694,0.155262344735314
"62",0.66,-0.651679672036877,-1.63017885829668,0.122845302278197
"63",0.67,-0.684272371187678,-1.63209132876114,0.0915106028938806
"64",0.68,-0.712328447899338,-1.66202146998611,0.0695665339869516
"65",0.69,-0.7357564029026,-1.69120726670298,0.0309526332036526
"66",0.7,-0.754511067503485,-1.71270871900338,0.000863985093883368
"67",0.71,-0.768601791080376,-1.73943994992465,-0.0190258371881028
"68",0.72,-0.778109754007753,-1.73316493294557,-0.0338741133286326
"69",0.73,-0.783192017186862,-1.74664396538701,-0.0426087467676803
"70",0.74,-0.784062761811496,-1.74993820058471,-0.0554550232359913
"71",0.75,-0.780960528070303,-1.69596122059465,-0.060555185171907
"72",0.76,-0.774116059903917,-1.65683930895971,-0.0578613222265964
"73",0.77,-0.763731972412349,-1.59517404707937,-0.0362432801732286
"74",0.78,-0.749981391836244,-1.57260578442587,-0.0305430033970706
"75",0.79,-0.73302681720111,-1.55891101024102,-0.015156986634144
"76",0.8,-0.713054028458911,-1.54176310873331,-0.0132266443163572
"77",0.81,-0.690313665166276,-1.48838035337839,-0.00691160112875375
"78",0.82,-0.665162801852208,-1.41667730020072,-0.002934403083122
"79",0.83,-0.638098503866521,-1.3973659302019,0.0075237371482945
"80",0.84,-0.60977770577656,-1.3475447861492,0.0402971724185184
"81",0.85,-0.581022601783574,-1.29085756853307,0.0677705370504373
"82",0.86,-0.552813975723294,-1.23531571246268,0.0900637922293058
"83",0.87,-0.526274804721183,-1.20168529444068,0.114897079798739
"84",0.88,-0.502644789773332,-1.19763589342488,0.119135752413729
"85",0.89,-0.483244876838891,-1.18512863676874,0.136906431056283
"86",0.9,-0.469430067472567,-1.17624447358794,0.143966713301672
"87",0.91,-0.462529725332279,-1.1650340546023,0.14471724487762
"88",0.92,-0.463778147253679,-1.19908091515543,0.150138198302811
"89",0.93,-0.47424475321849,-1.20908840536894,0.163137994065317
"90",0.94,-0.494781749973314,-1.23035688830432,0.153678106829207
"91",0.95,-0.526014109450149,-1.29625534473939,0.134377713891376
